type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-10-09 07:01:33,47.67575378,17.64694435,4,112.104,44.190,0.460,333,17,20,20211009-090133,GPS Logger: 20211009-090133
T,2021-10-09 07:01:34,47.67574939,17.64694400,4,112.827,44.190,0.000,,17,20,,
T,2021-10-09 07:01:35,47.67574835,17.64694381,4,112.858,44.190,0.000,,18,20,,
T,2021-10-09 07:01:36,47.67574806,17.64694376,4,112.867,44.190,0.000,,18,20,,
T,2021-10-09 07:01:37,47.67574439,17.64694800,4,113.999,44.190,0.810,152,18,20,,
T,2021-10-09 07:01:38,47.67573053,17.64695272,4,115.725,44.190,1.360,158,18,20,,
T,2021-10-09 07:01:39,47.67571477,17.64695422,4,116.817,44.190,1.530,162,17,20,,
T,2021-10-09 07:01:40,47.67569800,17.64696066,4,117.915,44.190,1.750,154,17,20,,
T,2021-10-09 07:01:41,47.67568495,17.64696927,4,119.120,44.190,1.540,157,17,20,,
T,2021-10-09 07:01:42,47.67567055,17.64697650,4,119.122,44.190,1.610,156,17,20,,
T,2021-10-09 07:01:43,47.67565791,17.64697805,4,119.241,44.190,1.480,175,18,20,,
T,2021-10-09 07:01:44,47.67564179,17.64697825,4,119.428,44.190,1.740,170,18,20,,
T,2021-10-09 07:01:45,47.67563093,17.64698133,4,120.218,44.190,1.330,167,18,20,,
T,2021-10-09 07:01:46,47.67562089,17.64698343,4,120.412,44.190,1.300,164,18,20,,
T,2021-10-09 07:01:47,47.67560997,17.64698837,4,119.313,44.190,1.360,156,18,20,,
T,2021-10-09 07:01:48,47.67559936,17.64699252,4,118.883,44.190,1.340,155,17,20,,
T,2021-10-09 07:01:49,47.67558839,17.64699750,4,118.812,44.190,1.340,160,17,20,,
T,2021-10-09 07:01:50,47.67557774,17.64700090,4,118.673,44.190,1.500,167,16,20,,
T,2021-10-09 07:01:51,47.67556322,17.64700427,4,119.002,44.190,1.570,170,16,20,,
T,2021-10-09 07:01:52,47.67554947,17.64700864,4,118.045,44.190,1.460,168,15,20,,
T,2021-10-09 07:01:53,47.67553394,17.64701553,4,117.765,44.190,1.560,160,16,20,,
